pos,neg,med,ciL,ciU
DENV1,CHIKV,0.00421716,0.000189707,0.016800735
DENV1,JEV,0.01019635,0.000652756,0.027787615
DENV1,DENV2,0.181031,0.16473835,0.197527125
DENV1,DENV3,0.5371605,0.520769575,0.5539283
DENV1,DENV4,0.1876985,0.171574975,0.204071875
DENV1,WNV,0.0102793,0.000632251,0.025817988
DENV1,TBEV,0.01581035,0.001630073,0.03216265
DENV1,YFV,0.0816085,0.065605588,0.09795874
DENV1,ZIKV,0.00221186,9.04958475e-05,0.010104753
DENV1,DENV_ELISA,0,0,0
CHIKV,DENV1,0.00635394,0.000271334,0.024001008
CHIKV,JEV,0.0083634,0.000367245,0.027605155
CHIKV,DENV2,0.006946325,0.000280272,0.023285455
CHIKV,DENV3,0.03482825,0.016665255,0.054943405
CHIKV,DENV4,0.00148002,5.342096e-05,0.007388645
CHIKV,WNV,0.007344005,0.000369958,0.023201613
CHIKV,TBEV,0.002135415,7.328727e-05,0.010740335
CHIKV,YFV,0.001889305,6.5878545e-05,0.009230648
CHIKV,ZIKV,0.00387125,0.000179867,0.015592153
CHIKV,DENV_ELISA,0,0,0
JEV,DENV1,0.125705,0.092938,0.161151075
JEV,CHIKV,0.07550235,0.04242866,0.1097954
JEV,DENV2,0.0263108,0.002482722,0.058676855
JEV,DENV3,0.06635595,0.03385492,0.099724645
JEV,DENV4,0.0601749,0.027818195,0.09333032
JEV,WNV,0.7079555,0.677126925,0.7404229
JEV,TBEV,0.0929912,0.060507748,0.124719475
JEV,YFV,0.1610915,0.1288437,0.1927105
JEV,ZIKV,0.08816,0.056876465,0.121100425
JEV,DENV_ELISA,0,0,0
