antigen,pos,med,ciL,ciU
DENV1,DENV1,2.865175,2.75594325,2.96936725
CHIKV,CHIKV,2.786675,2.65382625,2.9186735
DENV1,DENV1&CHIKV,2.865175,2.75594325,2.96936725
CHIKV,DENV1&CHIKV,2.786675,2.65382625,2.9186735
JEV,JEV,1.82475,1.71776725,1.93117175
DENV1,DENV1&JEV,2.865175,2.75594325,2.96936725
JEV,DENV1&JEV,1.82475,1.71776725,1.93117175
CHIKV,CHIKV&JEV,2.786675,2.65382625,2.9186735
JEV,CHIKV&JEV,1.82475,1.71776725,1.93117175
DENV1,DENV1&CHIKV&JEV,2.865175,2.75594325,2.96936725
CHIKV,DENV1&CHIKV&JEV,2.786675,2.65382625,2.9186735
JEV,DENV1&CHIKV&JEV,1.82475,1.71776725,1.93117175
