pathogen,loc,med,ciL,ciU
DENV1,Chapai Nawabganj Sadar Upazila ,0.256637,0.210746825,0.30824445
DENV1,Shibganj Upazila ,0.3026105,0.2578759,0.34574855
DENV1,Gomastapur Upazila ,0.05860595,0.03946552,0.082726048
DENV1,Nachole Upazila ,0.07848805,0.047844175,0.11675925
DENV1,Bholahat Upazila ,0.108893,0.07374924,0.15275145
CHIKV,Chapai Nawabganj Sadar Upazila ,0.0850359,0.056552633,0.1220078
CHIKV,Shibganj Upazila ,0.2839085,0.242640975,0.3270666
CHIKV,Gomastapur Upazila ,0.08380955,0.05881637,0.112153525
CHIKV,Nachole Upazila ,0.0440345,0.020885613,0.07763414
CHIKV,Bholahat Upazila ,0.04658355,0.024957873,0.077090678
JEV,Chapai Nawabganj Sadar Upazila ,0.189613,0.14473545,0.2397821
JEV,Shibganj Upazila ,0.186131,0.1485656,0.229658075
JEV,Gomastapur Upazila ,0.327927,0.284629375,0.373377525
JEV,Nachole Upazila ,0.210948,0.157059275,0.277664125
JEV,Bholahat Upazila ,0.3364925,0.27359765,0.403685025
