loc,age,pathogen,med,ciL,ciU
Chapai Nawabganj Sadar Upazila ,0-9,DENV1,0.231518,0.117315225,0.376210425
Chapai Nawabganj Sadar Upazila ,Oct-19,DENV1,0.298936,0.19495925,0.4211651
Chapai Nawabganj Sadar Upazila ,20-29,DENV1,0.2854365,0.1629336,0.42822115
Chapai Nawabganj Sadar Upazila ,30-39,DENV1,0.290908,0.16963075,0.43341525
Chapai Nawabganj Sadar Upazila ,40-49,DENV1,0.1852805,0.09218943,0.31581125
Chapai Nawabganj Sadar Upazila ,50-59,DENV1,0.2129205,0.099293678,0.36592465
Chapai Nawabganj Sadar Upazila ,60+,DENV1,0.219366,0.09936198,0.3882741
Shibganj Upazila ,0-9,DENV1,0.347182,0.21805095,0.49493165
Shibganj Upazila ,Oct-19,DENV1,0.2391675,0.1598755,0.336203675
Shibganj Upazila ,20-29,DENV1,0.30764,0.21716615,0.4077491
Shibganj Upazila ,30-39,DENV1,0.323655,0.19774665,0.4613827
Shibganj Upazila ,40-49,DENV1,0.2860155,0.187756925,0.396796025
Shibganj Upazila ,50-59,DENV1,0.400139,0.2558346,0.560988175
Shibganj Upazila ,60+,DENV1,0.2736665,0.140112525,0.43980495
Gomastapur Upazila ,0-9,DENV1,0.0864629,0.026784073,0.1953396
Gomastapur Upazila ,Oct-19,DENV1,0.03012025,0.009075175,0.072519125
Gomastapur Upazila ,20-29,DENV1,0.04749895,0.014981815,0.10815245
Gomastapur Upazila ,30-39,DENV1,0.06515705,0.021037383,0.14385285
Gomastapur Upazila ,40-49,DENV1,0.0744548,0.026028123,0.15672075
Gomastapur Upazila ,50-59,DENV1,0.0739784,0.018129695,0.185510475
Gomastapur Upazila ,60+,DENV1,0.04734095,0.006453353,0.14790225
Nachole Upazila ,0-9,DENV1,0.0363574,0.001542272,0.173902275
Nachole Upazila ,Oct-19,DENV1,0.03848095,0.005570115,0.1240961
Nachole Upazila ,20-29,DENV1,0.130208,0.05437664,0.2449551
Nachole Upazila ,30-39,DENV1,0.08557495,0.019324618,0.216201225
Nachole Upazila ,40-49,DENV1,0.06469085,0.010694685,0.193924325
Nachole Upazila ,50-59,DENV1,0.0271899,0.001036502,0.138793875
Nachole Upazila ,60+,DENV1,0.04677425,0.001688224,0.215711125
Bholahat Upazila ,0-9,DENV1,0.07841365,0.010421548,0.236942475
Bholahat Upazila ,Oct-19,DENV1,0.0700483,0.02083794,0.156753075
