antigen,DENV1,DENV3,DENV2,DENV4,ZIKV,JEV,WNV,YFV,TBEV
TBEV,2.926112452,3.001976936,2.634349767,2.601006156,1.92925195,1.605479681,1.747175846,1.650778521,0
YFV,2.329879802,2.405744286,2.038117116,2.004773505,1.333019299,1.009247031,1.150943195,0,1.650778521
WNV,1.840758861,1.916623345,1.548996176,1.515652565,0.843898359,0.297880552,0,1.150943195,1.747175846
JEV,1.699062697,1.774927181,1.407300012,1.3739564,0.702202194,0,0.297880552,1.009247031,1.605479681
ZIKV,1.579461635,1.655326119,1.28769895,1.254355339,0,0.702202194,0.843898359,1.333019299,1.92925195
DENV4,1.189241326,1.26510581,0.897478641,0,1.254355339,1.3739564,1.515652565,2.004773505,2.601006156
DENV2,0.79552998,0.871394464,0,0.897478641,1.28769895,1.407300012,1.548996176,2.038117116,2.634349767
DENV3,0.478649829,0,0.871394464,1.26510581,1.655326119,1.774927181,1.916623345,2.405744286,3.001976936
DENV1,0,0.478649829,0.79552998,1.189241326,1.579461635,1.699062697,1.840758861,2.329879802,2.926112452
